swipe_id,card_id,merchant_id,amount,device_id,timestamp
1,211,1069,1748.97,2abc9360-8ca,2026-02-04 16:36:29
2,2070,236,2405.22,c51d25c8-4cb,2026-06-18 22:17:39
3,17248,677,2439.72,7b3786de-ba1,2026-06-16 11:12:00
4,1829,1065,7.57,da63d3a6-026,2026-06-18 10:26:08
5,10122,1214,2938.12,0a30a6db-2d5,2026-02-04 08:53:33
6,16669,101,482.46,b82b7de8-2fe,2026-01-09 18:35:10
7,7366,853,649.17,74b6c8fd-924,2026-06-13 03:22:46
8,2015,36,2100.75,44fd8409-936,2026-02-13 11:32:40
9,15751,128,1241.22,1b625f4e-389,2026-01-08 03:15:11
10,4532,1750,2059.13,f714afd0-538,2026-06-24 09:50:57
11,7180,1391,2992.97,ad712430-44c,2026-01-13 11:42:43
12,1365,796,736.05,44d57dde-74d,2026-01-27 06:20:22
13,14805,426,481.85,ff18612a-e51,2026-02-16 12:14:21
14,7790,496,1185.64,fb99f990-875,2026-03-30 02:40:18
15,2315,1886,1217.18,86edb252-8b3,2026-02-08 07:40:16
16,7307,1801,2702.06,75c215ee-b68,2026-05-31 03:09:52
17,371,1482,2858.14,b2d94b4f-383,2026-02-10 14:53:53
18,2189,112,692.87,812b0c46-6c1,2026-03-17 22:53:06
19,10620,66,324.14,9a12761e-f51,2026-01-24 07:00:05
20,10802,1958,2260.28,39270a8b-299,2026-06-28 19:57:49
21,18772,1010,1496.9,b7e31c37-df7,2026-01-05 13:16:41
22,8697,731,410.68,9bfdb65a-729,2026-05-30 04:30:57
23,18481,359,1061.03,f4dc5641-642,2026-03-08 11:05:09
24,4801,1868,2717.47,f64922ac-621,2026-04-02 21:50:53
25,3196,394,1259.7,64de1374-3fd,2026-05-03 14:20:50
26,4601,181,495.6,22f3e4fb-652,2026-03-06 07:47:23
27,3618,632,66.41,b866c79d-978,2026-02-22 20:19:30
28,18090,1290,2306.6,9e4c468d-3bd,2026-05-05 22:59:39
29,6798,741,1673.88,c28b45bf-5be,2026-01-04 19:24:34
30,10453,1196,1775.48,1763ccbe-54f,2026-06-18 08:30:12
31,14241,1649,1602.92,dcbf0754-ac2,2026-05-15 23:00:49
32,4816,1161,1446.92,3c60fcdb-d08,2026-06-09 06:42:06
33,13716,1508,2224.29,747a04c3-e50,2026-04-03 12:00:10
34,18660,1460,2385.39,4368fb9e-ed1,2026-04-02 14:34:17
35,5498,29,863.7,0baf0433-362,2026-06-10 18:29:55
36,16578,1524,2873.5,43041e0f-445,2026-01-05 07:19:06
37,3566,1256,588.56,8f7c32d5-85d,2026-02-10 02:30:32
38,17864,1616,1520.91,43ed66ac-964,2026-02-01 22:10:26
39,9661,308,542.05,f4c23c2d-499,2026-02-10 11:39:22
40,4744,193,1688.35,5f5bbe30-651,2026-03-28 06:45:14
41,6877,417,2221.76,589c8c77-c51,2026-04-23 17:30:05
42,12046,1011,1009.43,6d414c80-1b0,2026-04-25 09:05:12
43,18164,1029,1295.95,f69b5e37-d0d,2026-01-18 05:22:31
44,3966,1918,1494.45,903cfa66-5a7,2026-01-13 04:08:24
45,5279,789,816.91,9357e265-281,2026-03-24 04:29:38
46,12175,1475,1218.33,bd220a19-5c2,2026-04-13 09:20:31
47,19254,1901,438.16,7ce70713-443,2026-01-24 01:22:17
48,16976,971,754.23,da3e081e-1cf,2026-01-30 15:05:06
49,4447,486,1289.34,f8c0e4c5-429,2026-02-16 19:41:08
50,7563,129,1786.08,ac9e90b5-cc0,2026-01-23 09:52:32
51,16939,182,2739.45,c3a8535b-af5,2026-01-12 03:55:54
52,16685,1288,271.86,5c51ce76-db0,2026-03-05 14:41:19
53,19593,1012,1216.28,0d87adab-8ac,2026-02-27 16:39:40
54,11485,520,598.67,88a005b3-66f,2026-05-08 15:23:21
55,2828,1567,1711.67,a2906386-694,2026-06-18 22:02:40
56,5198,133,1977.42,d4a31901-dda,2026-05-16 18:35:18
57,39,1808,2715.49,00930356-7dd,2026-02-14 09:36:33
58,1041,1505,371.03,cdb5fd99-f88,2026-01-16 13:47:00
59,5838,808,2041.02,88457262-2be,2026-01-03 00:34:56
60,11289,616,2437.18,d4d993cb-a6e,2026-01-18 08:01:31
61,7190,176,457.1,1c0f0b0f-6b9,2026-04-16 03:15:20
62,10196,1265,1109.93,d9cf3e04-894,2026-01-22 11:36:58
63,9243,1713,1764.48,0050b840-c7f,2026-01-25 16:00:49
64,19568,1201,1361.09,3b132944-357,2026-04-30 22:36:19
65,16662,1787,2149.93,f6f925f1-de5,2026-02-11 00:26:09
66,15576,494,2058.43,918a85bb-0d0,2026-02-23 22:47:11
67,2759,1100,2499.9,8da23aa0-181,2026-02-28 06:57:53
68,6931,194,2045.54,8dc421c2-57a,2026-04-21 22:33:18
69,1621,293,1494.91,393a23df-92b,2026-01-27 09:41:46
70,18821,1643,1917.23,82a5e4a1-718,2026-06-28 12:43:10
71,8269,513,1564.66,b57ebda5-768,2026-02-18 21:40:15
72,3566,1348,510.19,302d6a48-61a,2026-02-02 01:01:22
73,13404,1544,2198.49,a3fe8ba8-084,2026-04-04 21:00:37
74,15476,57,2764.03,931a53bf-061,2026-04-17 08:54:02
75,4591,173,1484.29,38c84570-4fe,2026-05-09 17:19:37
76,17052,620,852.65,74795598-b80,2026-05-02 00:53:03
77,12780,62,665.55,aad11f87-78a,2026-03-11 02:58:46
78,931,1030,146.7,b0efb099-b84,2026-02-05 01:39:53
79,8020,1730,1519.67,2fddda79-89d,2026-02-22 02:20:11
80,7827,1458,195.56,ddca6612-c62,2026-02-19 13:56:28
81,3241,187,279.72,97e5f26f-b1a,2026-01-27 01:10:42
82,5466,148,2213.28,c087e4cd-5d0,2026-01-22 23:31:35
83,9654,1560,517.04,065040a5-961,2026-03-26 16:22:32
84,8134,1356,1006.97,bf977b2a-c9d,2026-02-03 07:40:50
85,4602,289,1596.53,0931effb-095,2026-05-07 12:22:28
86,9662,448,2150.25,f40e192f-b78,2026-01-01 10:49:14
87,18361,1273,665.48,c69ebafc-3ed,2026-02-02 17:31:39
88,12757,961,2883.03,b9e5f6bf-ca5,2026-01-03 05:11:18
89,14939,1872,2813.98,93ed9ecf-639,2026-02-22 05:43:37
90,673,209,2671.0,4ad7a0a7-4af,2026-02-13 02:30:06
91,3086,50,843.23,9dc2cd58-b36,2026-01-05 03:49:57
92,17750,394,1940.37,5aceb899-48f,2026-05-24 12:38:55
93,16084,1237,351.51,e9e936ac-17b,2026-01-24 03:18:38
94,12878,719,1188.82,fa1f24d2-462,2026-06-06 01:27:48
95,6849,48,2968.79,da389cd3-243,2026-02-28 21:01:38
96,15275,1499,2812.09,231cb00b-854,2026-03-05 08:10:41
97,6209,791,2132.43,6f2d7922-a90,2026-02-28 00:29:56
98,15907,1704,943.88,a7875a78-872,2026-06-19 06:58:19
99,11332,185,2821.41,08246f91-2e2,2026-02-20 01:09:19
100,6963,1309,1125.5,7b1241db-e5f,2026-03-02 07:09:56
101,12079,254,2788.24,a4fa8035-1fb,2026-04-01 23:02:49
102,17705,1396,2947.25,7837ce1d-55f,2026-04-07 15:26:10
103,19995,66,2025.28,5f2edf3c-3b1,2026-06-28 22:51:13
104,12293,1352,911.66,5a88cc40-151,2026-03-10 14:32:04
105,6705,1866,1400.67,9ccd05ec-aaf,2026-01-02 07:21:20
106,6159,1077,1793.71,a8419499-c5d,2026-01-02 23:36:12
107,14357,1125,216.06,e323014a-09e,2026-03-16 23:27:16
108,9837,808,103.64,453b7776-658,2026-03-26 17:54:11
109,2549,1997,885.57,d66aff92-b24,2026-03-14 08:33:56
110,1939,1449,2057.65,6de09738-d44,2026-05-02 11:54:29
111,11531,1946,1340.01,9b73156e-92d,2026-04-03 15:30:23
112,2019,1851,135.11,6faabb29-3da,2026-03-10 19:04:15
113,18874,1652,433.57,0a3fac2b-864,2026-03-01 08:21:01
114,787,295,1621.46,3a373c8b-488,2026-01-23 17:20:45
115,8529,1637,1053.18,55919f8c-099,2026-02-25 09:05:47
116,4265,1427,411.94,db06723f-887,2026-02-12 13:38:48
117,5073,1407,273.42,06f48def-8d6,2026-03-18 11:49:48
118,10781,881,2482.63,64395576-dae,2026-01-23 14:11:29
119,13219,276,322.56,ad5d6715-90c,2026-04-08 08:27:25
120,5207,92,544.94,51ecc865-138,2026-02-15 03:36:37
121,1661,513,2944.35,ef04dfbf-eca,2026-01-15 03:47:14
122,14842,139,2808.86,de57be21-100,2026-06-21 05:15:35
123,7390,1786,1862.55,8d37febe-d2e,2026-03-26 11:27:31
124,3261,1363,488.02,ea3f7bf7-4ee,2026-04-26 04:32:31
125,563,105,1215.73,b1942e2e-d2b,2026-01-14 02:46:13
126,16168,1638,1058.66,b4f83134-534,2026-04-23 17:03:01
127,19526,1995,2901.79,16845436-31b,2026-04-11 04:33:58
128,8979,1239,183.34,f42eee5c-046,2026-05-31 10:58:35
129,734,816,2255.3,6f63da8f-653,2026-01-29 11:53:18
130,16049,336,65.68,6707189a-300,2026-05-11 07:13:01
131,10480,1297,1474.5,38113be2-d16,2026-02-20 08:14:00
132,7303,131,659.44,fc7cd8a3-733,2026-01-20 19:30:13
133,12273,1818,1409.77,ef0f49a9-9d4,2026-01-03 01:39:40
134,16526,721,642.7,9eff71b5-913,2026-02-01 15:44:33
135,8527,986,71.69,93dc8c78-153,2026-03-12 00:01:52
136,5970,1004,1736.94,945286e9-f9b,2026-05-25 08:07:43
137,10846,1644,2922.26,e11ef7a0-5f8,2026-05-19 04:02:34
138,10114,1975,1901.19,83dfbaeb-38a,2026-03-05 08:26:48
139,685,1781,1329.76,a6571f4b-01c,2026-02-13 17:13:15
140,9267,237,2410.69,c7f3498e-351,2026-02-03 04:13:58
141,19162,678,115.09,f947b43e-b23,2026-04-08 19:49:13
142,8534,1621,1831.64,abba0685-464,2026-03-24 04:13:54
143,12191,986,2423.56,a190716c-967,2026-06-14 09:46:54
144,4090,61,2342.66,31dc7db2-4dd,2026-01-10 17:23:01
145,8963,1391,448.62,5b446261-c60,2026-06-03 13:34:44
146,11931,1702,1231.11,5bba79fa-813,2026-04-26 01:47:06
147,14693,142,1763.46,b78f5a52-ce8,2026-01-21 10:49:35
148,19163,1511,1413.18,27cc25b3-709,2026-04-07 14:51:16
149,3682,1911,2205.07,c9069d7a-c39,2026-01-01 14:56:31
150,11538,1629,1415.62,42735918-7eb,2026-02-20 07:45:24
151,1901,840,977.28,f415c2ee-d31,2026-06-23 18:44:41
152,4798,1432,2508.83,6223c84c-66b,2026-06-01 11:37:52
153,12356,181,2675.8,fa63f8b7-50e,2026-03-30 12:25:37
154,1523,920,2758.8,9e63ec8d-ee2,2026-06-08 06:43:49
155,9009,591,2918.2,3715e30f-6a2,2026-05-29 18:27:19
156,11869,734,1986.93,d4079952-61f,2026-06-09 19:35:52
157,11503,1627,636.01,4253bf1b-a79,2026-04-04 01:02:02
158,6405,1060,2843.82,ade31872-46d,2026-02-04 01:08:47
159,7958,597,2524.73,ce714473-778,2026-01-28 07:42:49
