repayment_id,loan_id,principal_paid,interest_paid,payment_date,late_days
1,2864,635.69,392.34,2026-02-12,3
2,2274,604.5,680.22,2026-05-21,50
3,2989,1401.25,102.75,2026-04-21,43
4,1535,1366.21,888.84,2026-03-18,8
5,2683,481.74,61.41,2026-03-27,46
6,2154,4839.57,278.9,2026-04-25,46
7,2704,2134.84,594.36,2026-03-20,13
8,1260,465.67,479.49,2026-06-17,45
9,2415,1177.31,189.6,2026-01-31,19
10,701,461.03,454.17,2026-02-13,0
11,1095,931.36,609.96,2026-01-27,51
12,1903,3753.38,937.32,2026-06-18,25
13,825,4267.38,317.19,2026-06-08,15
14,2016,945.42,437.87,2026-04-06,34
15,863,130.45,170.11,2026-03-10,53
16,2903,377.9,530.43,2026-01-05,33
17,1497,1142.69,503.76,2026-04-04,38
18,117,3074.56,175.33,2026-06-25,37
19,2526,2906.9,155.01,2026-05-23,23
20,2322,159.26,899.62,2026-01-24,28
21,2994,886.15,350.51,2026-03-26,60
22,997,2145.2,292.73,2026-04-24,15
23,2153,2277.62,738.17,2026-05-16,6
24,2600,412.62,916.22,2026-03-20,58
25,2733,2256.75,431.71,2026-05-08,45
26,670,178.12,111.41,2026-03-24,33
27,1911,3769.81,903.66,2026-02-07,18
28,428,1020.88,298.32,2026-06-11,52
29,1416,3819.98,288.32,2026-03-18,33
30,1345,4195.24,426.61,2026-05-27,45
31,2149,1219.61,356.01,2026-03-21,21
32,2076,753.77,902.38,2026-03-29,2
33,895,814.12,750.01,2026-05-29,45
34,2026,2373.58,190.15,2026-06-14,52
35,2815,4539.9,613.88,2026-06-16,18
36,1538,3673.44,211.58,2026-03-20,48
37,2682,4858.46,504.39,2026-01-04,44
38,463,4794.0,691.6,2026-05-26,38
39,1381,2422.86,92.98,2026-04-25,16
40,1477,1206.96,45.86,2026-04-28,37
41,1094,4900.22,878.17,2026-02-27,41
42,748,4981.44,442.31,2026-06-25,56
43,1912,2992.51,930.71,2026-01-05,5
44,1433,489.37,282.08,2026-02-08,59
45,3,2538.67,577.32,2026-02-01,16
46,687,1674.45,42.07,2026-05-14,8
47,1316,270.64,715.19,2026-01-29,9
48,1908,297.17,653.77,2026-01-31,44
49,507,1419.17,804.63,2026-01-19,36
50,2131,3003.38,359.66,2026-02-24,9
51,1564,2079.01,745.64,2026-04-23,23
52,1013,3172.17,542.39,2026-04-04,36
53,2149,3118.45,385.46,2026-05-16,10
54,691,586.87,154.76,2026-02-09,15
55,2162,2982.33,550.79,2026-01-28,51
