loan_id,customer_id,account_id,loan_amount,interest_rate,term_months,status
1,2945,1851,922408.91,11.01,24,Closed
2,7381,9150,288926.96,9.81,48,Closed
3,5222,8340,433127.8,3.5,36,Default
4,8267,3291,112217.5,9.54,48,Active
5,9230,14916,81023.68,3.11,36,Active
6,6301,8765,379941.52,13.59,12,Closed
7,6095,1273,376477.22,10.9,48,Active
8,2141,11879,134160.26,14.51,48,Active
9,1852,2921,488007.33,6.79,12,Default
10,2201,6329,827269.95,5.43,24,Active
11,7414,967,624513.64,4.07,24,Active
12,5039,14375,873491.45,12.57,48,Default
13,1727,6201,510849.03,4.8,48,Active
14,2811,11916,861066.27,12.21,36,Closed
15,3291,1560,945742.27,9.46,12,Default
16,4612,10442,26627.13,11.88,48,Default
17,6572,6292,27384.65,13.73,12,Default
18,2811,1873,943654.18,3.99,24,Closed
19,8090,3750,944897.88,8.38,48,Active
20,9397,3710,952992.0,4.39,48,Active
21,8535,3225,851256.84,12.25,12,Closed
22,5405,11496,124407.38,3.74,24,Default
23,3819,1853,501712.41,8.01,36,Default
24,2344,8249,853463.99,6.16,12,Active
25,1588,13946,152436.21,3.01,48,Closed
26,3212,2679,80238.34,4.56,36,Closed
27,1263,8610,680435.11,6.74,24,Active
28,724,14495,104698.32,5.93,24,Default
29,5312,11510,791203.54,13.38,24,Default
30,166,3182,898268.99,11.02,36,Closed
31,6955,9529,367046.1,14.87,12,Active
32,6114,6132,922128.3,10.01,24,Active
33,4388,8793,15743.07,10.92,12,Default
34,2479,6898,756519.49,3.76,48,Active
35,7328,11813,804301.08,10.63,48,Default
36,9715,6416,419560.18,6.38,12,Closed
37,7478,6789,402487.63,14.91,24,Closed
38,5306,12572,792315.12,5.86,48,Active
39,4839,7929,770095.12,9.81,12,Closed
40,6058,4006,833553.62,14.94,48,Active
41,6555,14445,607998.05,11.74,24,Active
42,5471,1304,144344.22,13.42,48,Default
43,7035,8146,639944.3,8.97,24,Closed
44,4914,10005,148856.77,7.91,48,Closed
45,9016,6704,404931.54,7.31,24,Default
46,5266,5070,442010.99,12.39,24,Default
47,4473,2332,29628.68,3.63,48,Active
48,6045,10917,464846.16,11.13,36,Closed
49,245,12799,334149.08,4.61,24,Closed
50,1388,11833,482055.88,3.09,36,Active
51,9858,3845,785979.86,9.12,12,Default
52,8044,1129,176240.23,14.31,24,Default
53,4815,2733,812969.72,3.85,24,Default
54,4826,14472,587966.98,8.85,12,Default
55,5197,11001,553061.5,7.67,24,Closed
56,19,12803,689661.07,9.26,12,Default
57,2696,1626,503095.35,12.37,24,Closed
58,4606,2011,938285.75,5.14,36,Default
59,3036,11965,831887.58,14.44,24,Default
60,2064,3133,728001.72,8.27,24,Closed
61,5158,11087,292418.09,11.6,36,Closed
62,8292,9309,313979.98,5.65,12,Closed
63,9656,6674,957175.19,8.26,24,Closed
64,6626,3059,376140.27,8.67,12,Active
65,9066,14529,176811.73,11.31,36,Closed
66,1034,11660,743236.61,4.76,36,Closed
67,5360,5072,383969.77,8.49,24,Closed
68,9007,4216,494684.49,12.92,48,Active
69,2978,14193,796745.73,7.79,12,Active
70,167,14845,923805.34,9.07,12,Default
71,939,11567,434835.47,11.62,48,Active
72,3455,11107,792279.36,7.31,12,Active
