transaction_id,from_account_id,to_account_id,amount,transaction_type,channel,status,timestamp
1,2116,184,1348.96,Transfer,Mobile,FAILED,2026-06-16 21:54:37
2,12585,14710,5916.98,Withdrawal,Internet Banking,SUCCESS,2026-04-02 17:42:06
3,11383,4028,1808.58,Deposit,Mobile,SUCCESS,2026-03-16 05:14:57
4,13224,2619,2458.21,Transfer,Internet Banking,SUCCESS,2026-06-08 05:32:35
5,4809,7484,6758.3,Deposit,Mobile,SUCCESS,2026-02-19 09:48:47
6,10140,2139,4300.25,Deposit,POS,SUCCESS,2026-06-22 04:04:45
7,924,12216,2288.02,Withdrawal,POS,FAILED,2026-03-23 09:11:44
8,11596,8277,3825.81,Transfer,Internet Banking,SUCCESS,2026-06-15 21:06:07
9,13911,3070,8851.83,Transfer,POS,SUCCESS,2026-05-25 07:50:12
10,7347,5279,7260.28,Transfer,POS,FAILED,2026-02-06 15:59:39
11,13246,6902,8792.25,Withdrawal,POS,FAILED,2026-03-20 22:46:42
12,257,13387,4731.95,Withdrawal,POS,SUCCESS,2026-05-19 17:53:13
13,13390,7896,2029.89,Deposit,ATM,SUCCESS,2026-01-25 18:59:57
14,3470,12994,1633.98,Deposit,ATM,SUCCESS,2026-04-15 16:01:44
15,3477,7898,6741.32,Withdrawal,Internet Banking,SUCCESS,2026-03-16 18:36:37
16,7747,9022,6055.89,Withdrawal,POS,FAILED,2026-02-27 12:10:20
17,9435,13245,5754.27,Withdrawal,POS,FAILED,2026-04-06 04:32:07
18,8433,11911,8741.23,Transfer,POS,FAILED,2026-06-25 06:06:40
19,483,1321,1257.27,Withdrawal,Mobile,SUCCESS,2026-05-12 13:20:56
20,9897,13214,8143.89,Transfer,Internet Banking,FAILED,2026-03-03 11:45:27
21,10861,5169,6582.46,Transfer,POS,SUCCESS,2026-03-05 09:47:43
22,8671,6583,8680.73,Deposit,Internet Banking,SUCCESS,2026-02-15 19:59:59
23,10131,10854,8326.13,Transfer,ATM,SUCCESS,2026-06-02 04:47:03
24,14046,11747,3741.7,Transfer,Internet Banking,FAILED,2026-01-25 17:33:44
25,13457,14436,5687.25,Deposit,ATM,FAILED,2026-05-14 12:04:38
26,12254,2402,6901.73,Transfer,ATM,FAILED,2026-01-16 01:19:37
27,6323,2319,9924.21,Transfer,ATM,FAILED,2026-06-21 12:09:20
28,6706,10359,1030.42,Transfer,Mobile,FAILED,2026-03-21 04:37:24
29,1880,2702,3317.43,Withdrawal,POS,FAILED,2026-05-03 17:31:38
30,10946,8729,6991.63,Deposit,POS,FAILED,2026-01-05 18:36:51
31,3121,3394,2973.35,Transfer,Internet Banking,SUCCESS,2026-06-10 22:15:38
32,1377,7088,8188.28,Deposit,Mobile,FAILED,2026-06-05 21:51:05
33,3113,10764,5727.1,Transfer,Internet Banking,FAILED,2026-06-14 08:50:44
34,2932,4247,7929.67,Withdrawal,Internet Banking,FAILED,2026-04-27 23:00:26
35,7778,7329,3717.98,Withdrawal,Internet Banking,FAILED,2026-03-28 11:04:01
36,9506,11937,1482.88,Transfer,POS,SUCCESS,2026-01-31 08:55:34
37,10934,11266,7239.17,Withdrawal,POS,FAILED,2026-06-18 00:24:25
38,11980,11262,8732.44,Transfer,ATM,FAILED,2026-05-06 19:45:03
39,8300,7984,6879.7,Deposit,POS,FAILED,2026-04-23 04:11:11
40,5080,7562,9443.41,Transfer,POS,SUCCESS,2026-05-26 03:48:27
41,1080,10708,7481.77,Withdrawal,POS,FAILED,2026-03-27 11:54:47
42,1115,4485,671.59,Deposit,Internet Banking,SUCCESS,2026-01-05 08:37:06
43,13335,4478,9621.53,Deposit,ATM,SUCCESS,2026-06-13 22:47:04
44,9227,2826,9037.36,Deposit,ATM,SUCCESS,2026-05-02 12:56:57
