repayment_id,loan_id,principal_paid,interest_paid,payment_date,late_days
1,2818,4480.69,302.67,2025-07-21,20
2,614,142.79,750.28,2022-09-24,39
3,925,2446.33,728.54,2021-11-14,21
4,2757,1901.62,401.18,2021-11-30,55
5,1184,1923.41,174.03,2022-07-27,23
6,2527,3603.55,612.87,2026-04-02,24
7,2685,3498.21,831.35,2021-12-03,2
8,1374,4367.32,386.8,2025-04-18,3
9,1648,2961.32,878.31,2023-11-28,8
10,585,4719.52,148.41,2024-05-21,27
11,1177,3404.32,436.72,2024-11-26,37
12,1547,1584.19,167.81,2023-07-14,20
13,2553,521.63,285.25,2023-05-20,34
14,1583,4410.37,397.96,2026-06-20,55
15,2519,2556.8,570.95,2023-10-23,29
16,563,3322.64,748.3,2022-02-01,21
17,1547,590.69,205.91,2025-06-04,26
18,2978,3484.45,739.6,2025-10-22,44
19,2114,155.36,991.74,2022-12-06,45
20,2417,1919.8,152.32,2023-01-04,48
21,2688,2547.87,361.67,2025-07-14,13
22,2304,2820.97,95.34,2022-08-14,20
23,1428,2180.21,698.43,2023-03-22,0
24,1453,601.51,303.07,2022-06-21,5
25,2966,3736.19,663.88,2025-03-19,22
26,2242,1956.93,622.03,2022-12-01,38
27,188,2893.87,365.33,2024-11-10,17
28,2160,3452.58,413.24,2021-11-24,3
29,285,618.08,624.21,2022-03-18,20
30,2856,1931.86,490.27,2022-10-27,33
31,644,3122.11,109.28,2025-05-26,25
32,2846,4745.82,943.67,2026-03-08,2
33,438,2964.9,810.13,2025-02-20,14
34,2160,2323.79,530.91,2026-01-18,45
35,640,3156.7,555.22,2023-05-07,43
36,1034,265.8,324.91,2023-09-14,27
37,1359,2059.35,881.95,2025-10-30,47
38,637,2548.49,32.66,2021-10-12,26
39,2811,137.68,469.39,2023-01-01,15
40,2342,2588.1,82.23,2025-03-14,38
41,1417,2232.36,428.29,2025-01-26,25
42,782,554.54,297.18,2021-10-01,18
