loan_id,customer_id,account_id,loan_amount,interest_rate,term_months,status
1,9053,8279,631915.11,14.4,36,Default
2,712,9128,822555.83,5.65,36,Default
3,7842,174,984699.63,11.81,48,Closed
4,4818,8937,961595.51,14.63,12,Closed
5,9972,4552,433212.31,11.29,60,Default
6,1585,11621,205815.98,4.82,24,Closed
7,8546,5078,790531.54,9.1,60,Default
8,7723,7268,804562.23,12.35,36,Default
9,5535,14398,962133.33,10.85,24,Closed
10,309,11913,757932.0,10.9,24,Closed
11,3568,6400,812567.33,14.87,24,Closed
12,8226,8118,164045.37,8.52,24,Default
13,5706,5275,737566.42,7.6,12,Closed
14,5849,11890,70058.89,9.72,24,Active
15,2806,7208,406345.17,14.31,36,Default
16,6943,6046,582091.93,8.97,12,Active
17,8784,4719,470246.73,8.25,24,Default
18,3487,2365,456932.21,9.28,48,Closed
19,939,12945,879722.26,11.89,48,Active
20,967,8453,774254.95,5.25,12,Active
21,5873,4062,715486.29,14.43,24,Active
22,6467,14361,800582.36,4.08,36,Active
23,2262,16,408514.45,12.44,60,Default
24,8168,3962,940523.07,6.95,12,Active
25,7070,14708,599566.54,8.55,12,Default
26,8408,6166,825394.41,12.48,24,Active
27,9984,6815,656149.36,7.97,36,Active
28,957,13369,903855.06,12.02,36,Active
29,9349,6221,255368.98,9.68,48,Active
30,6840,46,159249.46,10.65,48,Closed
31,8487,13557,283559.13,3.23,60,Default
32,17,13079,698094.33,9.58,60,Closed
33,5823,5079,447926.58,4.28,24,Active
34,8786,4768,42425.31,4.33,24,Default
35,3210,3610,278601.19,5.01,24,Closed
36,4655,14627,247891.14,3.48,60,Active
37,1211,8474,174785.11,9.6,36,Active
38,5881,5763,845893.74,5.43,24,Active
39,6959,13989,490132.16,12.85,12,Default
40,461,11828,330510.06,4.16,24,Default
41,6586,10741,392299.86,6.56,36,Default
42,7090,1975,901179.96,5.78,36,Default
43,5958,846,562557.13,13.73,36,Default
44,9995,818,955312.0,6.39,48,Default
45,7137,886,760504.18,12.17,48,Default
46,780,2739,210099.17,6.34,48,Closed
47,8659,1158,957000.35,6.82,24,Default
48,6312,8031,934814.01,11.18,24,Closed
49,4458,3553,371103.97,9.22,24,Active
50,1725,4250,538478.71,14.79,24,Closed
51,6234,10089,587850.91,13.19,48,Default
52,711,6367,247112.59,4.96,24,Active
53,3836,12579,840009.94,14.26,24,Active
54,4931,2311,935431.39,4.68,24,Default
55,9576,10874,586755.22,10.33,60,Default
56,2703,14782,322771.87,8.87,36,Default
57,9175,226,939571.65,3.99,12,Active
58,8997,13758,432456.12,5.14,36,Default
59,1931,5579,500131.14,6.52,36,Default
60,7444,634,501485.4,13.41,60,Closed
61,1606,12329,542678.2,9.55,24,Default
62,150,12826,911809.84,6.05,60,Closed
63,6591,1670,323643.46,5.58,48,Closed
64,9535,7839,107496.87,13.74,60,Active
65,5084,10445,243186.01,7.44,36,Closed
66,7507,12675,620297.4,14.38,24,Closed
67,3166,3983,364266.61,4.96,36,Active
68,862,6175,875883.82,6.29,12,Default
69,358,8524,467299.05,12.49,36,Active
70,5734,10874,232458.86,7.47,24,Default
71,7371,77,627079.31,9.22,24,Default
72,9368,9647,234681.14,10.75,24,Closed
73,5942,279,155954.77,9.22,12,Default
74,4781,8634,180313.03,13.22,12,Default
75,3519,6816,961861.53,14.42,36,Closed
76,9454,6764,430398.0,4.47,48,Default
77,8081,14018,109493.03,13.44,48,Active
78,1105,13864,462012.6,4.01,12,Default
79,9356,5234,37883.65,9.85,36,Default
80,6915,12614,36113.99,10.86,48,Default
81,6106,1287,301213.77,7.24,48,Closed
82,5763,3792,61827.03,6.54,60,Closed
83,9511,11069,81350.93,13.98,60,Default
84,4527,10243,72034.38,9.59,24,Closed
85,7760,1358,402475.69,11.31,24,Active
86,3141,7490,758641.07,12.68,60,Active
87,2386,10033,400444.75,4.24,24,Active
88,7384,8335,458939.41,14.18,60,Default
89,6123,10335,173074.72,7.16,48,Default
90,6200,13918,917320.7,11.01,60,Default
91,9918,3595,420267.38,8.22,48,Default
92,7133,13601,819603.75,12.32,60,Default
93,1889,11335,559513.61,10.98,60,Closed
94,9164,13002,219857.56,8.68,12,Closed
95,2668,4310,675857.11,11.39,48,Default
96,1141,3523,99154.47,12.17,24,Default
97,6839,3310,523329.82,12.58,36,Active
98,2518,191,198171.29,13.42,12,Active
99,6409,3657,128843.67,8.07,12,Active
100,150,6489,26897.71,8.95,60,Active
101,8385,7125,377487.93,4.64,12,Active
102,7681,13433,491557.17,7.96,24,Closed
103,4429,8449,877292.71,4.94,24,Default
104,4295,11676,482587.83,5.33,24,Active
105,75,8565,988303.43,11.18,36,Closed
106,6152,13552,651463.88,9.82,36,Active
107,6670,8525,691324.25,13.83,24,Default
108,5128,5933,654205.27,6.45,36,Closed
109,3323,2682,137540.75,13.08,60,Active
110,8730,11147,298252.49,3.64,24,Active
111,5395,11116,148868.09,11.98,12,Active
112,3463,10953,513106.01,3.22,60,Default
113,2322,11159,228586.01,12.54,12,Active
114,3818,6150,383076.05,12.94,48,Closed
115,4813,12583,434505.05,12.32,60,Active
116,1437,7149,749768.74,7.75,36,Active
117,3646,268,156264.87,14.06,12,Active
118,2330,1157,160027.2,8.68,12,Closed
119,2046,13152,961660.64,12.37,24,Closed
120,5914,12356,727914.18,6.5,60,Default
