merchant_id,merchant_name,category,city
1,Torres Ltd,Airline,Hue
2,Warren-Ward,Hotel,Ho Chi Minh
3,Weiss and Sons,Shopping,Hanoi
4,Watson-Palmer,Airline,Hanoi
5,Parks-Marquez,Fuel,Hanoi
6,"Anderson, Woods and Moon",Hotel,Hue
7,"Hensley, Parks and Riley",Coffee,Da Nang
8,Simon Ltd,Restaurant,Hanoi
9,Mcmillan-Solis,Hospital,Hai Phong
10,Clarke LLC,Hotel,Ho Chi Minh
11,"Johnson, Todd and White",Hotel,Hanoi
12,Jones-Mcintosh,Fuel,Hanoi
13,Rodriguez Ltd,Supermarket,Can Tho
14,Gordon Inc,Hotel,Can Tho
15,Stephens Inc,Shopping,Hai Phong
16,"Moore, Bradley and Winters",Hotel,Da Nang
17,"Baker, Jennings and Tucker",Hotel,Hanoi
18,Mcgee and Sons,Hotel,Hue
19,Logan LLC,Airline,Can Tho
20,Bailey Group,Supermarket,Can Tho
21,Gilmore Inc,Airline,Ho Chi Minh
22,Bailey PLC,Airline,Hue
23,Gonzalez-Johnson,Restaurant,Hai Phong
24,"Mora, Moore and Simon",Restaurant,Da Nang
25,"Mccarthy, Russell and Kim",Fuel,Da Nang
26,Huff LLC,Hotel,Hai Phong
27,Nunez-Hess,Shopping,Ho Chi Minh
28,White Group,Shopping,Da Nang
29,Oliver-Wood,Airline,Hai Phong
30,"Carroll, Jones and Fernandez",Restaurant,Hanoi
31,Scott-Jones,Coffee,Can Tho
32,Butler-White,Shopping,Ho Chi Minh
33,"Villarreal, Hill and Boyer",Fuel,Hue
34,Ramirez-Miller,Hospital,Ho Chi Minh
35,Oliver-Pratt,Airline,Hue
36,Logan-Page,Hotel,Hanoi
37,Smith-Durham,Shopping,Hanoi
38,"Duffy, Schwartz and Roberson",Coffee,Ho Chi Minh
39,Brown-Allen,Coffee,Hai Phong
40,"Parker, Smith and George",Supermarket,Hanoi
41,Martinez-Long,Supermarket,Hanoi
42,Arias and Sons,Hotel,Hai Phong
43,Waller-Lynch,Fuel,Ho Chi Minh
44,Briggs and Sons,Restaurant,Hai Phong
45,Sexton-Little,Restaurant,Da Nang
46,Williams-Ho,Airline,Ho Chi Minh
47,Keller-Adams,Airline,Can Tho
48,Jones-Stewart,Hospital,Can Tho
49,Perez Group,Fuel,Ho Chi Minh
50,Hubbard-Vaughan,Shopping,Hue
51,Butler Inc,Shopping,Can Tho
52,Taylor-Garcia,Restaurant,Ho Chi Minh
53,Burke Ltd,Shopping,Can Tho
54,"Martinez, Wilkinson and Scott",Hospital,Da Nang
55,"Leach, Bond and Vazquez",Hospital,Ho Chi Minh
56,Alexander Group,Airline,Hanoi
57,"Mooney, Hester and Newton",Fuel,Da Nang
58,Morse-Maxwell,Supermarket,Hue
59,Mcneil Group,Fuel,Hanoi
60,"Morgan, Howard and Rogers",Hospital,Hue
61,Kelley Ltd,Airline,Da Nang
62,Ryan-Atkinson,Restaurant,Hai Phong
63,"Brown, Harmon and Miller",Airline,Hai Phong
64,Ingram-Edwards,Fuel,Hanoi
65,"Ali, Hendricks and Garcia",Fuel,Da Nang
66,Ochoa Inc,Airline,Da Nang
67,"Walsh, Erickson and Watkins",Hotel,Da Nang
68,Wright Ltd,Airline,Hanoi
69,"Sherman, Jackson and Moran",Restaurant,Da Nang
70,"Riddle, Walker and Mccarthy",Hotel,Hue
71,Robinson Inc,Restaurant,Hanoi
72,"Manning, Valdez and Hernandez",Airline,Can Tho
73,Bartlett-Burke,Supermarket,Hue
74,Mays LLC,Supermarket,Ho Chi Minh
75,Jacobson Ltd,Shopping,Hue
76,Kirk and Sons,Fuel,Hue
77,Huffman Inc,Shopping,Da Nang
78,Knapp-Powell,Hospital,Ho Chi Minh
79,Bell LLC,Hotel,Hai Phong
80,Gallegos-Davis,Coffee,Ho Chi Minh
81,"Henderson, Cooper and Williams",Restaurant,Ho Chi Minh
82,Stokes LLC,Hospital,Hue
83,"Bean, Orozco and Mccoy",Hotel,Hue
84,Miller LLC,Supermarket,Hai Phong
85,"Woods, Powell and French",Shopping,Hue
86,Clements-Brooks,Coffee,Hue
87,Petersen Ltd,Shopping,Da Nang
88,Brown-Cooper,Restaurant,Can Tho
89,Duffy LLC,Supermarket,Hai Phong
90,Anderson Group,Hotel,Da Nang
91,Chaney-Baldwin,Shopping,Da Nang
92,"Short, Peters and Hawkins",Restaurant,Hue
93,Le-Jordan,Coffee,Hanoi
94,Williams Group,Supermarket,Hai Phong
95,Smith Group,Restaurant,Ho Chi Minh
96,"Wallace, Norris and Hill",Restaurant,Hanoi
97,"Joyce, Carpenter and White",Airline,Hanoi
98,"Meyer, Hansen and Ramirez",Coffee,Hai Phong
99,Phillips-Jones,Coffee,Hai Phong
100,"Freeman, Harvey and Brown",Hotel,Hai Phong
101,Brooks-Spencer,Hotel,Hai Phong
102,"Wagner, Simmons and Gray",Airline,Hanoi
103,Barnes-Miller,Hospital,Can Tho
104,Taylor-Jackson,Hospital,Ho Chi Minh
105,Young-Heath,Hospital,Hanoi
106,Cain Group,Supermarket,Da Nang
107,Macdonald-Baker,Shopping,Hue
108,Meyers-Johnson,Restaurant,Can Tho
109,"Howard, Foster and Pena",Restaurant,Hanoi
110,Johnson PLC,Shopping,Can Tho
111,Randall LLC,Shopping,Hue
112,Collins PLC,Supermarket,Ho Chi Minh
113,Schroeder-Walter,Airline,Can Tho
114,Jennings-Pierce,Fuel,Can Tho
115,Kemp Inc,Airline,Hai Phong
116,"Williams, Petty and Ross",Restaurant,Hue
117,"Wilson, Mills and Smith",Shopping,Can Tho
118,"Bell, Madden and Brown",Fuel,Hue
119,"Morris, Williams and Gill",Restaurant,Can Tho
120,Owen Ltd,Shopping,Hanoi
121,Butler-Gallagher,Restaurant,Hanoi
122,"Glover, Lawrence and Price",Supermarket,Hue
123,Baird-Barnes,Airline,Hue
124,Davis Ltd,Fuel,Hanoi
125,Harris-Maldonado,Hotel,Hai Phong
126,Shaffer Inc,Fuel,Da Nang
127,Donaldson-Bell,Shopping,Da Nang
128,Peterson-Henry,Supermarket,Da Nang
129,Grant-Washington,Airline,Hai Phong
130,Ramirez-Jacobs,Fuel,Hai Phong
131,Vance-Smith,Fuel,Ho Chi Minh
